name,address
Abucay National High School,"Baao, Camarines Sur"
Abuyog Academy,"Abuyog, Leyte"
"Academia De San Lorenzo Dema Ala, Inc.","San Jose Del Monte City, Bulacan"
Access Computer and Technologies College,Pasig City
ACLC College of Daet,"Daet, Camarines Norte"
"ACLC College of Iriga City, Inc.",Iriga City
ACLC-AMA Computer Learning Center,Naga City
ACTS Computer College,"Sta. Cruz, Laguna"
Adiangao High School,"San Jose, Camarines Sur"
Agay-ayan National High School,"Tinambac, Camarines Sur"
Agdangan National High School,"Baao, Camarines Sur"
Alawihao National High School,"Daet, Camarines Norte"
Alfelor Sr. Memorial College,"Del Gallego, Camarines Sur"
Alimsog Integrated School,"Sto. Domingo, Albay"
Altamarino - Clasio High School,"Pili, Camarines Sur"
Alternative Learning System - Sorsogon,Sorsogon City
Alternative Learning System - Tigaon,"Tigaon, Camarines Sur"
Alternative Learning System-Caramoan,"Caramoan, Camarines Sur"
Alternative Learning System-Goa,"Goa, Camarines Sur"
Alternative Learning System-Lagonoy,"Lagonoy, Camarines Sur"
Alternative Learning System-Nabua,"Nabua, Camarines Sur"
Alternative Learning System-Naga,Naga City
Alternative Learning System-Pili,"Pili, Camarines Sur"
Alternative Learning System-Presentacion,"Presentacion, Camarines Sur"
Alternative Learning System-Sagnay,"Sagñay, Camarines Sur"
Alternative Learning System-San Jose,"San Jose, Camarines Sur"
Alternative Learning System-Tinambac,"Tinambac, Camarines Sur"
AMA Computer Learning Center,Naga City
AMA Computer Learning Center-Quezon City,Quezon City
AMA Computer Learning Center - Paco Branch,Manila City
Ambolong National High School,"Aroroy, Masbate"
Andres Bonifacio Integrated School,Mandaluyong City
Angeles City National High School,"Angeles City, Pampanga"
Angono National High School,"Angono, Rizal"
Anib National High School,"Sipocot, Camarines Sur"
Antipolo National High School,"Tinambac, Camarines Sur"
APEC School-Bacoor,"Bacoor, Cavite"
APEC School-Manila,"Sampaloc, Manila"
APEC School-Sta. Rita,Parañaque City
Araullo High School,Manila City
Arellano University - Andres Bonifacio Campus,Pasig City
Arellano University - Jose Rizal High School,Malabon City
Aroroy National High School,"Aroroy, Masbate"
Asia Technological School of Science and Arts,"Sta. Rosa, Laguna"
"Asian Caregiving and Technology Education Centers,Inc",Las Piñas City
Asian Institute of Computer Studies,Lipa City
Asian Institute of Computer Study,"Mabalacat City, Pampanga"
Ateneo de Naga University,Naga City
Baao National High School,"Baao, Camarines Sur"
Bagacay National High School,"Tinambac, Camarines Sur"
Bagacay National High School - Gubat,"Gubat, Sorsogon"
Bagolatao National High School,"Minalabac, Camarines Sur"
Bagong Barrio Senior High School,Caloocan City
Bagong Sirang High School,"Castilla, Sorsogon"
Bahao National High School,"Libmanan, Camarines Sur"
Bahi National High School,"Garchitorena, Camarines Sur"
Balaton National High School,"Lagonoy, Camarines Sur"
Balibago Senior High School,"Sta. Rosa, Laguna"
Baliguian High School Annex,"Presentacion, Camarines Sur"
Balingasa High School,Quezon City
Bandoc Peninsula Agricultural High School,"Mulanay, Quezon"
Banga National High School,"Tinambac, Camarines Sur"
Bantigue High School,Masbate City
Bantugan National High School,"Presentacion, Camarines Sur"
Baras Pinugay Integrated High School,"Baras, Rizal"
Basud National High School,"Basud, Camarines Norte"
Batangan National High School,"General Nakar, Quezon"
Bauan Colleges Inc.,"Bauan, Batangas"
Benguet State University,"Buguias, Benguet"
Bestlink College of the Philippines,"Novaliches, Quezon City"
Bicol Central Academy,"Libmanan, Camarines Sur"
Bicol College,Sagpon Daraga Albay
Bicol College of Agriculture,"San Jose, Camarines Sur"
"Bicol for Christ Mission Academy, Inc.","Goa, Camarines Sur"
Bicol State College of Applied Sciences and Technology,Naga City
Bicol University,Legazpi City
Bikal Fisheries School,"Caramoan, Camarines Sur"
Binabalian National High School,"Bolinao, Pangasinan"
Binagasbasan National High School,"Garchitorena, Camarines Sur"
Binanuaanan High School,"Pili, Camarines Sur"
Bitaogan National High School,"Presentacion, Camarines Sur"
"Blessed Name of Mary Learning School, Inc.","Pili, Camarines Sur"
Bogtong National High School,"Rapu-Rapu, Albay"
Bondoc Peninsula Agricultural High School,"Gumaca, Quezon"
Bonifacio D. Borebor Sr. High School,"Caramoan, Camarines Sur"
Bote Integrated School,"Bato, Catanduanes"
Buenavista National High School,"Lagonoy, Camarines Sur"
Buenavista National High School-Tinambac,"Tinambac, Camarines Sur"
Bugao Integrated Senior High School,"Bagamanok, Catanduanes"
"Buhi St. Joseph's Academy, Inc.","Buhi, Camarines Sur"
Bula National High School,"Sagrada, Bula Camarines Sur"
Bulan National High School,"Bulan, Sorsogon"
Bulusan National High School,"Bulusan, Sorsogon"
Burabod National High School,"Garchitorena, Camarines Sur"
Burias Colleges Incorporated,"Claveria, Masbate"
Cabalinadan High School,"Tigaon, Camarines Sur"
Cabasan National High School,"Bacacay, Albay"
Cabacongan Eastern Coast High School,"Caramoan, Camarines Sur"
Cabotonan High School,"Lagonoy, Camarines Sur"
Cabuyao Integrated National High School,"Cabuyao, Laguna"
Cagbibi National High School,"Pamplona, Camarines Sur"
Cainta Senior High School,Cainta Rizal
Calabanga Community College,"Calabanga, Camarines Sur"
Calabanga National High School,"Calabanga, Camarines Sur"
Calabanga National Science High School,"Calabanga, Camarines Sur"
Calao National High School,"Prieto Diaz, Sorsogon"
Calatagan High School,"Virac, Catanduanes"
Caloco Integrated High School,"Tinambac, Camarines Sur"
Caloocan National Science and Technology High School,Caloocan City
Camaligan National High School,"Camaligan, Camarines Sur"
Camarin High School,Caloocan City
Camarines Norte National High School,"Daet, Camarines Norte"
Camarines Norte Senior High school,"Daet, Camarines Norte"
Camarines Norte State College,"Jose Panganiban, Camarines Norte"
Camarines Science Oriented High School,"Pili, Camarines Sur"
Camarines Sur Institute of Fisheries and Marines Sciences,"Pasacao, Camarines Sur"
"Camarines Sur International School, Inc ","Sipocot, Camarines Sur"
Camarines Sur National High School,Naga City
Camarines Sur Polytechnic Colleges,"Nabua, Camarines Sur"
Camarines Sur Sports Academy,"Pili, Camarines Sur"
Camp Vicente Lim Integrated School,"Calamba, Laguna"
Canayonan National High School,"Tinambac, Camarines Sur"
Canduman National High School,Mandaue City
Capalonga Institute,"Capalonga, Camarines Norte"
Capellan Institute of Technology,"San Pablo, Laguna"
Caramoan Community College,"Caramoan, Camarines Sur"
Caramoan Rural Development High School,Legazpi City
Cararayan National High School,Naga City
Carlos Botong V. Francisco Memorial National High School,"Angono, Rizal"
Carmel National High School,Potot Libmanan Camarines Sur
Carmen National High School,"Zaragoza, Nueva Ecija"
Carolina National High School,Naga City
Casay National High School,Cebu City
Catalotoan National High School,"Sagñay, Camarines Sur"
Catanduanes National High School,"Virac, Catanduanes"
Catanduanes State University Laboratory Schools,"Virac, Catanduanes"
Ceguera Technological Colleges,Iriga City
Central Bicol State University of Agriculture-Calabanga,"Calabanga, Camarines Sur"
Central Bicol State University of Agriculture-Pili,"Pili, Camarines Sur"
Central Bicol State University of Agriculture-Sipocot,"Sipocot, Camarines Sur"
Centro Escolar University,"Makati, Metro Manila"
Centro Fidei School,"Angeles City, Pampanga"
Christ the King College of Science & Technology,Muntinlupa City
"Cieverose College, Inc.",Caloocan City
City of Bacoor Senior High School,"Bacoor, Cavite"
Coguit High School,"Balatan, Camarines Sur"
Colacling National High School,"Libmanan, Camarines Sur"
"Colegio de San Gabriel Arcangel of Caloocan, Inc.",Caloocan City
Colegio de San Juan de Letran - Calamba,"Calamba, Laguna"
College of Saint Catherine Quezon City,Quezon City
College of San Benildo - Rizal,Antipolo City
College of Technological Sciences - Cebu,Cebu City
Columban College,Olongapo City
Commonwealth High School,Quezon City
"Computer Art and Technological College, Inc.","Polangui, Albay"
Comteq Computer and Business College (INC),Olongapo City
Concepcion Integrated School,Marikina City
Concepcion Pequeña National High School,Naga City
Cristo Rey Integrated School,Iriga City
Dahat National Vocational High School,"Lagonoy, Camarines Sur"
Dalig National High School,Antipolo City
Daniel B. Peña Memorial College Foundation,"Tabaco, Albay"
Daraga National High School,"Daraga, Albay"
Datamex College of Saint Adeline,Quezon City
Del Rosario High School,Naga City
Del Gallego National High School,"Del Gallego, Camarines Sur"
Delia Diezmo Natiional High School,Camarines Norte
Denrica High School,"Garchitorena, Camarines Sur"
Diliman College,Quezon City
Dimasalang National High School,"Dimasalang, Masbate"
Dominican School of Calabanga,"Calabanga, Camarines Sur"
Don Bosco Agro-Mechanical Technology Center,Legazpi City
Don Carlo Cavina School,Las Piñas City
Don Jose M. Ynares Sr. Memorial National High School,"Binangonan, Rizal"
Don Leon Q. Mercado High School,Naga City
Don Mariano C. Veneracion National High School,"Pamplona, Camarines Sur"
Don Ramon E. Costales Memorial National High School,"Villasis, Pangasinan"
Don Ruben E. Ecleo Sr. Memorial National School,Surigao City
Don Servillano Platon Memorial National High School,"Tinambac, Camarines Sur"
Don Teofilo H. Dilanco Memorial High School,"Libmanan, Camarines Sur"
Doña Basilia S. Quilon Memorial High School,"Pili, Camarines Sur"
Donsol National Comprehensive High School,"Donsol, Sorsogon"
Dororian National High School,"Gigmoto, Catanduanes"
Dr. Filemon c. Aguilar Information Techonlogy Training Institute,Las Piñas City
Dr. Rodolfo V. Pamor Jr. Memorial National High School,"Tigaon, Camarines Sur"
"E-Transcribe Education System, Inc. - MTC Academy","Tabaco, Albay"
Eastern Camarines Institute,"San Jose, Camarines Sur"
Eastern Coast High School,"Caramoan, Camarines Sur"
Eastern Star Academy Inc,"San Mateo, Rizal"
Elpidio Quirino High School,Manila City
Emilio Aguinaldo College - Manila,"Ermita, Manila"
"Espirito Santo Parochial School of Manila, Inc. ",Manila City
Eusebio High School,Pasig City
Fair Gems Academy Inc.,"Catubig, Northern Samar"
"Father Saturnino Urios College of Sibagat, Inc.","Sibagat, Agusan Del Sur"
Fatima School of Science and Technology,"Goa, Camarines Sur"
Federico P. Condat National High School,"Presentacion, Camarines Sur"
Felipe P. Panton High School,"Bula, Camarines Sur"
First Baptist Christian Academy  - Tigaon,"Tigaon, Camarines Sur"
First Baptist Christian Academy of Sorsogon City,Sorsogon City
First City Providential College,"San Jose Del Monte City, Bulacan"
Francisco Osorio Ingtegrated Senior High School,"Trece Martires, Cavite"
Gainza Senior High School,Gainza Camarines Sur
Gateways Institute of Science and Technology,Antipolo City
Gen. T De Leon National High School,Valenzuela City
General Flaviano Yengko Senior High School,"Imus City, Cavite"
General Mariano Alvarez Technical High School,"GMA, Cavite"
Genesis Children's Growth Academy,"Ocampo, Camarines Sur"
Genesis College Inc.,"Tigaon, Camarines Sur"
Gibgos National High School,"Caramoan, Camarines Sur"
Global Site for IT Studies,"Goa, Camarines Sur"
GlobalTech Programs for Progress Inc.,"San Jose, Camarines Sur"
Goa Community College,"Goa, Camarines Sur"
Goa National High School,"Goa, Camarines Sur"
Goa Science High School,"Goa, Camarines Sur"
Gov. Mariano E. Villafuerte Community College,"Garchitorena, Camarines Sur"
Gov. Mariano E. Villafuerte Community College - Tinambac,"Tinambac, Camarines Sur"
Gov. Mariano E. Villafuerte High School,"Pili, Camarines Sur"
Gregorio Ocampo Bercasio Memorial High School,"Tinambac, Camarines Sur"
Gulang-Gulang National High School,Lucena City
Guang Ming College,"Tagaytay, Cavite"
Gubat National High School,"Gubat, Sorsogon"
Guijalo National High School,"Caramoan, Camarines Sur"
Guinacot National High School,"Guindulman, Bohol"
Hacienda High School,"Tabaco, Albay"
Hanawan National High School,"Ocampo, Camarines Sur"
Harrison Integrated School,"Garchitorena, Camarines Sur"
Himanag National High School,"Lagonoy, Camarines Sur"
Holy Rosary Academy of Las Pinas City,Las Piñas City
Holy Rosary Minor Seminary,Naga City
Homobono H. Gonzales National High School,"Libmanan, Camarines Sur"
"HSL - Braille College, Inc.",Taguig City
Huyonhuyon High School,"Tigaon, Camarines Sur"
Haluban National High School,"Lupi, Camarines Sur"
"I Connect Global Institute, Inc.","Ocampo, Camarines Sur"
"ICCT Colleges Foundation, Inc.","Cainta, Rizal"
Immaculate Conception Academy,Dasmariñas City
Imus Computer College,Las Piñas City
Inawayan National High School,"Santa Cruz, Davao del Sur"
Infotech Development Systems Colleges Inc.,Ligao City
International School  for Hotel and Restaurant Management,"Bacoor, Cavite"
Itaran National High School,"Polangui, Albay"
Jacinto P. Elpa National High School,"Tandag City, Surigao del Sur"
Jamorawon National High School,"Milagros, Masbate"
Japan-Philippines Institute of Technology,"Del Monte, Bulacan"
Jesus My Sheperd Montessori School,"Morong, Rizal"
Joroan High School,"Tiwi, Albay"
Jose De Villa National High School,"Calabanga, Camarines Sur"
Jose J. Mariano Memorial High School,"Bintog, Plaridel, Bulacan"
Jose P. Laurel Sr. High School,Quezon City
Jose Panganiban National High School,"Jose Panganiban, Camarines Norte"
Jose Rizal Univerisity,Mandaluyong City
Juan F. Triviño Memorial High School,"Pasacao, Camarines Sur"
Juan L. Filipino Memorial High School,"Goa, Camarines Sur"
Juban National High School,"Juban, Sorsogon"
Kalayaan National High School,Pasay City
Kapitolyo High School,Pasig City
Kasiglahan Village National High School,"San Jose Rodriguez, Rizal"
Katipunan National High School,"Katipunan, Zamboanga del Norte"
Kaunlaran High School,"Navotas, Metro Manila"
"King Thomas Learning Academy, Inc.","Sipocot, Camarines Sur"
La Concepcion College,Bulacan
La Consolacion College of Rinconada,Iriga City
La Consolacion University Philippines,"Malolos, Bulacan"
La Purisima National High School,"Nabua, Camarines Sur"
La Salvacion National High School,"Tigaon, Camarines Sur"
Labas Senior High School,"Sta. Rosa, Laguna"
Lagonoy High School,"Lagonoy, Camarines Sur"
Lapaz National High School,Jereos Extension Lapaz Ilo-Ilo City
Las Piñas City National Senior High School,"Caa, Las Piñas City"
Leandro Locsin Integrated School,"Novaliches, Quezon City"
Legazpi City Science High School,Legazpi City
Liceo de Masbate,Masbate City
Lidong High School,"Garchitorena, Camarines Sur"
Ligao National High School,Ligao City
"LOGICZ Computer Training Centere, Inc.",Naga City
Lolomboy National High School,"Bocaue, Bulacan"
Lopez National Comprehensive High School,"Lopez, Quezon"
Lower Binogsacan National High School,"Guinobatan, Albay"
"Lower Isarog Foundation Exponent, Inc.","Tigaon, Camarines Sur"
Luciano Millan National High School,"Asingan, Pangasinan"
Luna General Comprehensive High School,"Luna, Isabela"
Lupi National High School,"Lupi, Camarines Sur"
Lyceum of Alabang,Muntinlupa City
