name,address
"Lyceum of St. Dominic, Inc.","Sta. Elena, Camarines Norte"
M.B. Assistion Senior High School,Caloocan City
"Mabini Colleges, Inc","Daet, Camarines Norte"
Magarao National High School,"Magarao, Camarines Sur"
Magdalena Integrated National High School,"Magdalena, Laguna"
Magdiwang National High School,"Magdiwang, Romblon"
Magsaysay National High School,"Tinambac, Camarines Sur"
"Mahardika Institute  of Technology, Inc.","Bongao, Tawi-Tawi"
Makati Science high School,"Makati, Metro Manila"
Malabog National High School,"Daraga, Albay"
Malaking Ilog National High School,"San Pascual, Masbate"
Malonoy National High School,"Dao, Capiz"
Malinao National High School,"Malinao, Albay"
Mamatid Senior High School,"Cabuyao, Laguna"
Mambugan National High School,Antipolo City
Manga National High School,"Tagbiliran City, Bohol"
Mangayawan National High School,"Canaman, Camarines Sur"
Manila Tytana Colleges,Pres. Diosdado Macapagal Blvd. Metro Politant Park Pasay City
Manuel G. Araullio High School,"Malate, Manila"
"Manuel S. Enverga University Foundation Candelaria, Inc.","Candelaria, Quezon"
Marangal National High School,"San Jose Del Monte City, Bulacan"
Marcelino M. Santos National High School,San Jose Antipolo City
Marcelo H. Del Pilar National High School,"Malolos, Bulacan"
Mariners Polytechnic Colleges Foundation,"Canaman, Camarines Sur"
"Mariners Polytechnic Colleges, Inc.",Naga City
Mariveles National High School,"Mariveles, Bataan"
Masbate National Comprehensive High School,Masbate City
Masville National Senior High School,Parañaque City
Mataas na Paaralang Neptali A. Gonzales,Mandaluyong City
Mayamot National High School,Antipolo City
Maysalay Integrated School,"Goa, Camarines Sur"
Maximo L. Gatlabayan National High School ,Antipolo City
MCA Montessori School,Taguig City
Medroso-Mendoza National High School,"Calabanga, Camarines Sur"
Metro Manila College,Quezon City
Mianay National High School,"Mianay, Capiz"
Micro Asia College of Science and Technology,"Sta. Cruz, Zambales"
Milaor National High School,"Milaor, Camarines Sur"
Milestone Innovative Academy,Quezon City
Minalabac National High School,"Minalabac, Camarines Sur"
Moises D. Fernandez Pioneer High School,"Presentacion, Camarines Sur"
"Monkayo College of Arts, Science and Technology","Monkayo, Davao De Oro"
Montessori Professional College of Asia,Marikina City
Montessori Professional College of Asia - Makati City,"Makati, Metro Manila"
Moonwalk National High School,Parañaque City
Moreh Academy,"Bicutan, Taguig City"
Moreno Integrated School,"Daet, Camarines Norte"
Morong Nationaol High School,"Morong, Rizal"
Mother Margherita De Brincat Catholic School,"Dinalupihan, Bataan"
Mother Theresa Colegio de Balatan,"Duran, Balatan"
"Mother Theresa Colegio de Bula, Inc.","Bula, Camarines Sur"
"Mother Theresa Colegio de Iriga, Inc.",Iriga City
"Mother Theresa Colegio de Milaor, Inc.","Milaor, Camarines Sur"
"MRDA Academic Center, Inc.","Calabanga, Camarines Sur"
Mulawin National High School,Bulacan
Muntinlupa National High School - Tunasan Annex,Muntinlupa City
Muntinlupa Science High School,Muntinlupa City
Mystical Rose School of Caloocan,Caloocan City
Nabua National High School,"Nabua, Camarines Sur"
Naga City School of Arts and Trades,Naga City
Naga City Science High School,Naga City
Naga College Foundation,Naga City
Naga National High School,"Tabaco, Albay"
Naga View Adventist College Academy,Naga City
Naguilian National High School,"Naguilian, La Union"
Naic Integrated Natonal High School,"Naic, Cavite"
National Teachers College,Manila City
Nato National High School,"Sagñay, Camarines Sur"
New Partido High School,"Goa, Camarines Sur"
Next Generation Technologies College,"Plaridel, Bulacan"
Northern Peninsula High School,"Caramoan, Camarines Sur"
Northhills College of Asia,"Daet, Camarines Norte"
Oas Polytechnic Scool,"Oas, Albay"
Ocampo National High School,"Ocampo, Camarines Sur"
Olivarez College,Parañaque City
Olivarez College - Tagaytay,Tagaytay
Oring National High School,"Caramoan, Camarines Sur"
Our Lady of Assumption College,"Tanauan City, Batangas"
Our Lady of Fatima University - Antipolo,Antipolo City
Our Lady of Fatima University - Quezon City,Quezon City
Our Lady of Fatima University - Valenzuela,Valenzuela City
Our Lady of La Porteria Academy,"Calabanga, Camarines Sur"
Our Lady of Lourdes Academy,"San Jose Del Monte City, Bulacan"
"Our Lord's Angels School, Inc.",Caloocan City
Palanas National High School,"Pilar, Sorsogon"
Palau High School,"Koror, Palau"
Palayan City Institute of Technology,"Palayan City, Nueva Ecija"
Palo Alto Integrated School,"Calamba, Laguna"
Palsong National High School,"Bula, Camarines Sur"
Pambuhan National High School,"Garchitorena, Camarines Sur"
Pamplona National High School,"Pamplona, Camarines Sur"
Pamukid National High School,"San Fernando, Camarines Sur"
Panagan National High School,"Lagonoy, Camarines Sur"
Panatalan Senior High School,"Pantalan, Nasugbu, Batangas"
Panlayaan Technical Vocational School,Sorsogon City
Pantay Integrated High School,"Tanauan City, Batangas"
Parang High School,Marikina City
Parañaque National High School,Parañaque City
Parañaque Senior High School,Parañaque City
Partido Agro-Industrial National High School,"Tigaon, Camarines Sur"
Partido College,"Goa, Camarines Sur"
"Partido Mission Academy, Inc.","Tigaon, Camarines Sur"
Partido State University,"Goa, Camarines Sur"
Partido State University - Caramoan,"Caramoan, Camarines Sur"
Partido State University - Lagonoy,"Lagonoy, Camarines Sur"
Partido State University Laboratory High School,"Goa, Camarines Sur"
Pasacao Academy,"Pasacao, Camarines Sur"
Pasay City South High School,Pasay City
Payatan National High School,"Goa, Camarines Sur"
Perpetual Help College of Manila,"Sampaloc, Manila"
Perpetual Help National High School,Iriga City
Philippine Christian University,Dasmariñas City
Philippine College of Criminology,"Sta. Cruz, Laguna"
Philippine Computer Foundation College Inc.,"Pili, Camarines Sur"
Philippine School of Bahrain,"A'Ali, Kingdom of Bahrain"
Philippine Science High School,"Goa, Camarines Sur"
Philtect Institute of Arts and Technology,"Tagkawayan, Quezon"
PHINMA Saint Jude College Manila,"Sampaloc, Manila"
Pilar Natiobnal Comprehensive High School,"Pilar, Sorsogon"
Pili National High School,"Pili, Camarines Sur"
Pinaglabanan National High School,"Goa, Camarines Sur"
Pinamasagan National High School,"San Fernando, Camarines Sur"
Pioduran National High School,"Pioduran, Albay"
Pioner High School,"Presentacion, Camarines Sur"
Plaridel Integrated National High School,"Nagcarlan, Laguna"
Polangui Community College,"Polangui, Albay"
Polangui General Comprehensive High School,"Polangui, Albay"
Polytechnic University of the Philippines,"Sta. Mesa, Manila"
Presentacion National High School,"Presentacion, Camarines Sur"
President Diosdado Macapagal High School,Taguig City
President Sergio Osmeña Senior High School,"Tondo, Manila"
Prieto Diaz National High School,"Prieto Diaz, Sorsogon"
PSU - Technology Oriented Laboratory High School,"Sagñay, Camarines Sur"
Queen Ann School Of Dasmariñas,Dasmariñas City
"Quezonian Educational College, Inc.","Atimonan, Quezon"
Rabano Senior High School,"Tinambac, Camarines Sur"
Ragay National Agricultural and Fisheries School,"Ragay, Camarines Sur"
Rangas Ramos National High School,"San Jose, Camarines Sur"
Rinconada National Technical Vocational School,Iriga City
Rizal Experimental Station and Pilot School of Cottage Industries (R.E.S.P.S.C.I.),Pasig City
Rizal High School,Pasig City
Rizal Technological University,Mandaluyong City
Rodriguez National High School,"Pili, Camarines Sur"
Sacred Heart Academy,"Garchitorena, Camarines Sur"
Sagñay Southeastern High School,"Sagñay, Camarines Sur"
Sagrada Familia Senior High School,"Minalabac, Camarines Sur"
Sagrada National High School,Iriga City
Saint Anthony School,Manila City
Saint Augustine School Tanza,"Tanza, Cavite"
"Saint Benilde International School, Inc.","Calamba, Laguna"
Saint Louise De Marillac College of Sorsogon,Sorsogon City
Salogon High School,"San Jose, Camarines Sur"
Salvacion National High School,"Bato, Camarines Sur"
Samuel Christian College,"General Trias, Cavite"
Samson College of Science and Technology,"Cubao, Quezon City"
San Agustin Standalone Senior High School,Iriga City
San Antonio National High School,"Tabaco, Albay"
San Bartolome High School,Iriga City
San Fernando National High School,"San Fernando, Camarines Sur"
San Francisco De Sales School,"San Pedro, Laguna"
San Francisco National High School,Quezon City
San Isidro National High School,"Libmanan, Camarines Sur"
San Jose del Monte National High School,Bulacan
San Jose National High School,"San Jose, Camarines Sur"
San Jose National High School - Albay,"Malilipot, Albay"
San Jose National High School - Antipolo City,Antipolo City
San Jose Pili National High school,"Pili, Camarines Sur"
San Jose Polytechnic Institute,"San Jose, Camarines Sur"
"San Juan de Dios Educational Foundation, Inc.",Pasay City
San Juan National High School,"Libmanan, Camarines Sur"
San Pablo Integrated School,"San Pablo, Laguna"
San Pascual National High School,"San Pascual, Masbate"
San Pedro National High School,"Novaliches, Quezon City"
San Pedro Relocation Center National High School,"San Pedro, Laguna"
San Rafael National High School,"Tigaon, Camarines Sur"
San Ramon Pilot National High School,"Lagonoy, Camarines Sur"
San Ramon Provincial High School,"Tinambac, Camarines Sur"
San Vicente High School,"Sipocot, Camarines Sur"
San Vicente National High School,"Buhi, Camarines Sur"
San Vicente National High School,"Libon, Albay"
Shepherdville College,"Tigaon, Camarines Sur"
Sibaguan Agro-Industrial High School,"Sagñay, Camarines Sur"
Siena College of Tigaon,"Tigaon, Camarines Sur"
Signal Village National High School,Taguig City
Silanga National High School,"Catbaloga, Samar"
Silangang Malicbloy Nationation High School,"Pagbilao, Quezon"
Sinalhan Integrated High School,"Sta. Rosa, Laguna"
Sipocot National High School,"Sipocot, Camarines Sur"
Siruma National High School,"Siruma, Camarines Sur"
"Sisters of Mary of Banneux, Inc.","Silang, Cavite"
Sisters of Mary School,"Silang, Cavite"
Sisters of Mary School-ADLAS Inc.,"Silang, Cavite"
Sorsogon National High School,Sorsogon City
"South City Homes Academy, Inc.","Biñan, Laguna"
South-East Asia Institute of Trade and Technology,Quezon City
Southern Masbate Roosevelt College,"Placer, Masbate"
SPJ International Technology Institute,"Tinambac, Camarines Sur"
St. Jude College Dasmariñas Cavite,Dasmariñas City
St. Loiuse De Marillac College of Sorsogon,Sorsogon City
St. Paul Academy,"Goa, Camarines Sur"
St. Peter Baptist College Foundation,"Lupi, Camarines Sur"
St. Vincent College of Cabuyao ,"Cabuyao, Laguna"
St. vincent De Ferrer,Caloocan City
Sta. Elena High School,Marikina City
Sta. Justina National High School,"Buhi, Camarines Sur"
Sta. Lutgarda National High School,"Cabusao, Camarines Sur"
STI - College Legazpi,Legazpi City
STI College Fairview,"Fairview, Quezon City"
STI College Muñoz-EDSA,Quezon City
STI College Naga,Naga City
STI College Tanay,"Tanay, Rizal"
STI College-Balagtas,"Balagtas, Bulacan"
St. Clare College of Foundation,Caloocan City
St. Joseph School of Candaba,"Candaba, Pampanga"
Sto. Niño Senior High School,Sto. Niño Parañaque City
Sto. Tomas National High School,"Camaligan, Camarines Sur"
Sulpicio A. Roco Memorial High School,"Bombon, Camarines Sur"
Sun Valley National High School,Parañaque City
Tabaco College,"Tabaco, Albay"
Tabaco National High School,"Tabaco, Albay"
Tabgon High School,"Goa, Camarines Sur"
Tabgon National High School,"Caramoan, Camarines Sur"
Tagaytay City Science National High School,"Silang, Cavite"
Taguig National High School,"Bicutan, Taguig City"
Talisay Senior High Schoool,"Talisay, Batangas"
Tamban National High School,"Tinambac, Camarines Sur"
Tandoc National High School,"Siruma, Camarines Sur"
Tanuan City Integrated High School,"Tanuan, Batangas"
Tawog National High School,"Caramoan, Camarines Sur"
Taytay Senior High School,"Taytay, Rizal"
Technological Institute of the Philippines,Quezon City
Technological University of the Philippines,Manila City
"The Immaculate Mother Academy, Inc.",Caloocan City
The Lewis College,Sorsogon City
The New Partido High School,"Goa, Camarines Sur"
The Sisters of Mary School - Manila,"Sta. Mesa, Manila"
The Sisters of Mary School-Boystown,"Silang, Cavite"
The Sisters of Mary School-Girlstown,"Silang, Cavite"
The University of Manila,Manila City
Theresian School of Cavite,"Bacoor, Cavite"
Thy Covenant Montessori,Taguig City
Tierra Nevada National High School,"Tinambac, Camarines Sur"
Tinago National High School,Naga City
Tinawagan National High School,"Tigaon, Camarines Sur"
Tinorongan National High School,"Sagñay, Camarines Sur"
Tiwi Community College,"Tiwi, Albay"
Tiwi-Agro Industrial School,"Tiwi, Albay"
Top Link Global College Inc.,Cabanatuan City
Toribio Minor National High School,Zamboanga Del Sur
Toytoy Integrated School,"Garchitorena, Camarines Sur"
Trece Martires City College,Tres Martires City
Trece Martires City Senior High School,Tres Martires City
Turague National High School,"Sagñay, Camarines Sur"
Ungos Integrated National High School,"Real, Quezon Province"
Union National High School,"Ubay, Bohol"
Union National High School - Calabanga,"Calabanga, Camarines Sur"
United High School,"Caramoan, Camarines Sur"
Univeristy of Rizal System,"Binangonan, Rizal"
Universidad de Sta. Isabel,Naga City
Universidad de Sta. Isabel - Pili,"Pili, Camarines Sur"
University of Iloilo - Phinma,"Iloilo City, Iloilo"
University of Cordilleras,Baguio city
University of Makati,"Makati, Metro Manila"
University of Northeastern Philippines,Iriga City
University of Nueva Caceres,Naga City
University of Perpetual Help System Dalta,"Las Piñas City, Metro Manila"
University of Saint Anthony,Iriga City
University of Santo Tomas - Legazpi,Legazpi City
University of the East,"Sampaloc, Manila"
University of the Philippines - Los Baños,"Los Baños, Laguna"
University of the Philippines,Quezon City
V. Bagasina Sr. Memorial High School,"Himaao, Pili, Camarines Sur"
Vicente L. Basit Memorial High School,"Daet, Camarines Norte"
Victory Christian International School,Pasig City
Villafuerte-Peña High School,"San Jose, Camarines Sur"
Villahermosa National High School,"Rapu-Rapu, Albay"
Villamayor High School,"Minalabac, Camarines Sur"
Villazar National High School,"Sipocot, Camarines Sur"
Vinzons Pilot High School,"Vinzon, Camarines Norte"
Virginia Ramirez Cruz National High School,"Pandi, Bulacan"
Visita de Salog High School,"Goa, Camarines Sur"
Vito High School,"Siruma, Camarines Sur"
Vivencio-Obias Kinalansan National High School,"San Jose, Camarines Sur"
Wenceslao S. Grio National High School,"Cabanatuan, Iloilo"
"West Bridges Institute of Technology, Inc.","Cabuyao, Laguna"
West Coast College,"Pioduran, Albay"
West Coast High School,"Calabanga, Camarines Sur"
Western Bicutan National High School,Taguig City
World Citi Colleges,Quezon City
"Worldtech Resources Institute, Inc. - Goa","Goa, Camarines Sur"
"Worldtech Resources Institute, Inc. - Naga City","Pili, Camarines Sur"
"Worldtech Resources Institute, Inc. - Rinconada",Iriga City
Yobhel Christian Academy,"Pili, Camarines Sur"
Zeferino Arroyo High School,Iriga City
